City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Nhulunbuy,AU,2022-02-11 18:09:34,-12.2333,136.7667,79.41,89,79,6.91
186,Vilhena,BR,2022-02-11 18:05:13,-12.7406,-60.1458,78.21,87,95,5.59
187,Te Anau,NZ,2022-02-11 18:09:34,-45.4167,167.7167,54.54,90,87,2.04
188,Veraval,IN,2022-02-11 18:09:35,20.9,70.3667,72.57,43,1,7.45
189,Finschhafen,PG,2022-02-11 18:09:35,-6.6024,147.8681,78.82,82,99,4.81
190,Henties Bay,NA,2022-02-11 18:09:35,-22.116,14.2845,71.85,83,63,1.72
191,Louga,RU,2022-02-11 18:09:36,58.7372,29.8453,29.23,89,100,8.7
192,Sovetskiy,RU,2022-02-11 18:09:36,61.3614,63.5842,4.03,84,100,12.39
193,Svetlogorsk,BY,2022-02-11 18:09:36,52.6333,29.7333,30.6,90,91,4.79
194,Coihaique,CL,2022-02-11 18:09:02,-45.5752,-72.0662,65.01,42,0,5.75
195,Mbigou,GA,2022-02-11 18:09:37,-1.9005,11.906,70.65,90,96,1.57
196,Gouyave,GD,2022-02-11 18:09:37,12.1646,-61.7296,77.7,73,46,22.37
197,Bairiki,KI,2022-02-11 18:09:37,1.3292,172.9752,80.6,78,40,11.5
198,Boende,CD,2022-02-11 18:09:37,-0.2167,20.8667,82.29,46,97,1.99
199,Barranca,PE,2022-02-11 18:09:38,-10.75,-77.7667,75.04,67,41,12.44
200,La Ronge,CA,2022-02-11 18:09:38,55.1001,-105.2842,-16.53,92,93,1.39
201,Iroquois Falls,CA,2022-02-11 18:09:38,48.7669,-80.6831,21.34,93,100,7.4
202,Gorontalo,ID,2022-02-11 18:09:39,0.5412,123.0595,74.28,96,85,3.47
203,Salamiyah,SY,2022-02-11 18:09:39,35.0113,37.0532,47.8,66,4,1.72
204,Uyuni,BO,2022-02-11 18:09:39,-20.4597,-66.825,62.98,18,7,13.18
205,Nizhniy Baskunchak,RU,2022-02-11 18:09:40,48.2198,46.8311,33.96,91,84,10.6
206,Campechuela,CU,2022-02-11 18:09:40,20.2342,-77.2789,85.48,54,6,10.07
