City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Belmonte,BR,-15.8631,-38.8828,81.1,87,5,7.85,clear sky
281,Ecoporanga,BR,-18.3733,-40.8306,73.22,97,100,6.08,heavy intensity rain
282,Constitucion,CL,-35.3333,-72.4167,56.93,88,50,7.31,scattered clouds
283,Ipameri,BR,-17.7219,-48.1597,69.87,90,89,2.24,moderate rain
284,Sao Lourenco Do Oeste,BR,-26.3592,-52.8511,64.81,33,7,3.06,clear sky
285,Hibbing,US,47.4272,-92.9377,17.2,47,100,11.5,overcast clouds
286,Gloversville,US,43.0528,-74.3438,21.24,69,0,5.75,clear sky
287,Bairiki,KI,1.3292,172.9752,87.8,62,20,6.91,few clouds
288,Avanigadda,IN,16.0215,80.9181,71.74,85,5,4.63,clear sky
289,Jumla,NP,29.2747,82.1838,26.55,78,0,6.49,clear sky
290,Maridi,SS,4.9158,29.4742,71.37,22,40,2.26,scattered clouds
291,Tyumentsevo,RU,53.3224,81.498,8.15,94,100,13.49,light snow
292,Geraldton,AU,-28.7667,114.6,90.01,37,2,5.75,clear sky
293,Knysna,ZA,-34.0363,23.0471,71.98,95,100,9.64,light rain
294,Longyearbyen,SJ,78.2186,15.6401,17.44,86,75,5.75,broken clouds
295,Birjand,IR,32.8663,59.2211,28.87,54,0,6.91,clear sky
296,Puebla,MX,18.8333,-98.0,65.97,41,49,4.74,scattered clouds
297,Saldanha,ZA,-33.0117,17.9442,68.05,93,3,15.28,clear sky
298,Smolenka,RU,52.1352,113.4974,-29.13,68,20,0.0,few clouds
299,Souillac,MU,-20.5167,57.5167,76.35,85,100,10.22,light rain
300,Aksarka,RU,66.5606,67.7975,-0.36,97,100,8.28,light snow
301,Bambous Virieux,MU,-20.3428,57.7575,76.21,84,87,10.16,light rain
302,Zhigalovo,RU,54.8097,105.1578,-30.78,100,83,1.52,broken clouds
303,Muskogee,US,35.5834,-95.3336,63.01,46,0,14.97,clear sky
304,Isangel,VU,-19.55,169.2667,89.71,66,40,5.75,volcanic ash
305,Colombier,CH,46.5571,6.4728,40.44,84,100,10.13,overcast clouds
306,Vestmannaeyjar,IS,63.4427,-20.2734,36.27,60,100,9.69,overcast clouds
307,Maromitsa,RU,59.8683,48.0123,30.36,97,100,8.14,overcast clouds
308,Florianopolis,BR,-27.6146,-48.5012,71.62,72,0,4.61,clear sky
309,Sept-Iles,CA,50.2001,-66.3821,-3.57,65,20,5.75,few clouds
310,Fram,PY,-26.9833,-55.8833,86.59,27,1,5.06,clear sky
311,Mar Del Plata,AR,-38.0023,-57.5575,82.42,51,0,6.91,clear sky
312,Hargeysa,SO,9.56,44.065,58.14,68,3,7.67,clear sky
313,Port Hardy,CA,50.6996,-127.4199,46.58,71,100,11.5,overcast clouds
314,Sindor,RU,62.8629,51.8905,18.88,98,100,3.6,overcast clouds
315,Vanavara,RU,60.34,102.2797,-12.66,99,100,2.66,overcast clouds
316,Araceli,PH,10.5529,119.9913,80.19,76,11,15.23,few clouds
317,Boyolangu,ID,-8.1181,111.8935,79.81,82,62,3.69,broken clouds
318,Sao Filipe,CV,14.8961,-24.4956,73.51,66,100,10.36,overcast clouds
319,Kimberley,ZA,-28.7323,24.7623,64.09,94,100,1.14,overcast clouds
320,Wexford,IE,52.3342,-6.4575,55.53,92,100,24.23,overcast clouds
321,Luderitz,NA,-26.6481,15.1594,67.26,87,1,10.63,clear sky
322,Seidu,SL,9.0167,-10.6,71.44,22,5,1.14,clear sky
323,Qasigiannguit,GL,68.8193,-51.1922,-0.15,99,100,4.05,light snow
324,Guayape,HN,14.7167,-86.8333,61.79,85,100,3.06,overcast clouds
325,Padang,ID,-0.9492,100.3543,80.19,79,64,2.98,broken clouds
326,Avera,US,33.194,-82.5271,53.26,49,0,5.73,clear sky
327,Mayahi,NE,13.9553,7.6712,69.58,12,0,9.93,clear sky
328,San Cristobal,VE,7.7669,-72.225,69.98,90,100,1.14,overcast clouds
329,Port Hedland,AU,-20.3167,118.5667,89.65,74,40,4.61,scattered clouds
330,Zhigansk,RU,66.7697,123.3711,-39.28,100,48,2.66,scattered clouds
331,Shingu,JP,33.7333,135.9833,41.99,49,0,14.81,clear sky
332,Tilichiki,RU,60.4667,166.1,-13.56,88,14,12.46,few clouds
333,Kodiak,US,57.79,-152.4072,38.71,93,100,3.44,light rain
334,Gomel,BY,52.4345,30.9754,27.82,86,0,6.71,clear sky
335,Finspang,SE,58.7058,15.7674,36.12,84,100,9.95,overcast clouds
336,Faanui,PF,-16.4833,-151.75,81.61,72,19,17.65,few clouds
337,Russell,US,32.3502,-85.1999,60.03,43,0,5.75,clear sky
338,Kamenka,RU,51.3223,42.7678,4.6,97,100,4.05,overcast clouds
339,Nanakuli,US,21.3906,-158.1547,80.04,61,100,13.8,light rain
340,Meadow Lake,US,34.8014,-106.5436,63.88,7,0,16.17,clear sky
341,Itoman,JP,26.1247,127.6694,62.62,67,75,13.8,broken clouds
342,Dauphin,CA,51.1494,-100.0502,-0.26,78,20,6.91,few clouds
343,Kalemie,CD,-5.9475,29.1947,69.21,89,100,4.05,light rain
344,Ribeira Brava,PT,32.65,-17.0667,61.43,55,43,8.86,scattered clouds
345,Ixtapa,MX,20.7,-105.2,78.03,78,0,8.05,clear sky
